id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,host_id,location_param,material,width,height,operation
d1400117-a019-4580-88e1-b58021f7b5ef-0013d1c8,"36"" x 84"" (Roof)",S36,02a23a8b-94c1-452d-91fe-6406594cff3b-00095ad3,,,0.381,0.1373497772,12.85144811,-0.3175,18.3134,13.88649811,0.889,20.5486,184ed4be-eb51-4db7-b40f-6253f6a27faa-0013d59b,0.7181108964,Aluminum,0,0,
ceee9ff8-50eb-46e4-bac5-3786f3164d7e-0013f9c9,"36"" x 84"" (90 MIN)",401A,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,,0,0.1463536367,-15.255875,1.137285,9.8044,-14.030325,2.153285,11.9888,67ae6175-da2b-4045-844e-65f6ddd2f313-0014799c,0.495938537,Aluminum,0,0,
ceee9ff8-50eb-46e4-bac5-3786f3164d7e-0013fa9f,"36"" x 84"" (20 MIN)",201C,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d19,,,0,0.1199166936,-13.052425,0.92075,2.4638,-11.985625,1.93675,4.6482,ceee9ff8-50eb-46e4-bac5-3786f3164d7e-0013fa9e,0.6632,Aluminum,0,0,
67c8725e-6767-456a-a743-b96a80deb581-001408f0,"36"" x 84"" (Cores)",304B,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,,0,0.1273190377,-10.118725,4.467225,5.7404,-9.007475,5.483225,7.9248,827486d1-b6f6-47d9-9eca-e5379aa26e8e-0021f1a4,0.5682730924,Aluminum,0,0,
67c8725e-6767-456a-a743-b96a80deb581-00140929,"36"" x 84"" (Cores)",404B,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,,0,0.1273190377,-10.118725,4.467225,9.8044,-9.007475,5.483225,11.9888,827486d1-b6f6-47d9-9eca-e5379aa26e8e-0021f1b5,0.5682730924,Aluminum,0,0,
67c8725e-6767-456a-a743-b96a80deb581-00140962,"36"" x 84"" (Cores)",504C,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,0,0.1273190377,-10.118725,4.467225,13.8684,-9.007475,5.483225,16.0528,827486d1-b6f6-47d9-9eca-e5379aa26e8e-0021f1c6,0.5682730924,Aluminum,0,0,
67c8725e-6767-456a-a743-b96a80deb581-001409c8,"36"" x 84"" (20 MIN)",302B,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,,0,0.1199166936,-13.052425,0.92075,5.7404,-11.985625,1.93675,7.9248,67c8725e-6767-456a-a743-b96a80deb581-001409c7,0.6632,Aluminum,0,0,
67c8725e-6767-456a-a743-b96a80deb581-00140baa,"36"" x 84"" (20 MIN)",402B,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,,0,0.1199166936,-13.052425,0.92075,9.8044,-11.985625,1.93675,11.9888,67c8725e-6767-456a-a743-b96a80deb581-00140ba9,0.6632,Aluminum,0,0,
67c8725e-6767-456a-a743-b96a80deb581-00140bb1,"36"" x 84"" (20 MIN)",502D,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,0,0.1199166936,-12.12215,1.56845,13.8684,-11.05535,2.58445,16.0528,67c8725e-6767-456a-a743-b96a80deb581-00140bb0,0.50300005,Aluminum,0,0,
a2df1c87-f272-419d-a2ab-ad91c32f9e0f-001420b6,"36"" x 84"" (Cores)",406C,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,,0,0.1172729993,-4.727575,4.581525,9.8044,-3.67665,5.597525,11.9888,a2df1c87-f272-419d-a2ab-ad91c32f9e0f-001420a2,0.5868089234,Aluminum,0,0,
e8d0e752-8307-45f3-82e8-e54d42939a03-0014286d,"36"" x 84"" (90 MIN)",501A,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,0,0.1463536367,-14.11605,0.98425,13.8684,-12.8905,2.00025,16.0528,049439b4-5467-47c4-a72e-459e7fd736c2-00101ba8,0.5545212766,Aluminum,0,0,
e8d0e752-8307-45f3-82e8-e54d42939a03-00142afe,"36"" x 84""",501B,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,0,0.1172729993,-28.978225,10.614025,13.8684,-27.9273,11.630025,16.0528,e8d0e752-8307-45f3-82e8-e54d42939a03-00142afc,0.7349799733,Aluminum,0,0,
e8d0e752-8307-45f3-82e8-e54d42939a03-00142c75,"36"" x 84""",301C,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,,0,0.1172729993,-28.978225,10.614025,5.7404,-27.9273,11.630025,7.9248,e8d0e752-8307-45f3-82e8-e54d42939a03-00142c74,0.7349799733,Aluminum,0,0,
e8d0e752-8307-45f3-82e8-e54d42939a03-00142c98,"36"" x 84""",401B,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,,0,0.1172729993,-28.978225,10.614025,9.8044,-27.9273,11.630025,11.9888,e8d0e752-8307-45f3-82e8-e54d42939a03-00142c97,0.7349799733,Aluminum,0,0,
2b2fb460-c8c8-4b8a-9424-312124e4a146-00146a68,Access Door,107A,561adf52-04d9-49cc-aa0c-378397704344-0009aa6e,,,0,1.297855469,-2.7178,10.2695375,-1.0541,0.127,11.55812101,1.9431,b0a2dd1a-b172-4911-a09e-5a29154cd7e2-000a531a,0.8230034297,Aluminum Clad (Black),2.4384,2.54,
