id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,start_x,start_y,end_x,end_y,length,start_z,end_z,shape,size_x,size_y,system_type,start_node_id,end_node_id
pi-1362,Copper,,lv-6,,,,0.0003796874283,0.4611104954,3.9893875,-1.927225,0.7819007387,4.0179625,-1.400175,0.7695274007,4.003675,0.4734838333,4.003675,0.5920871348,-1.92008125,-1.40731875,,,,plumbing,,
pi-1363,Copper,,lv-6,,,,0.003701737604,-5.316903335,3.9893875,-1.4112875,0.4556112341,4.0179625,-1.3827125,0.4556112341,4.003675,-5.316903335,4.003675,5.772514569,-1.397,-1.397,,,,plumbing,,
pi-1364,Copper,,lv-6,,,,0.0004727726452,-5.862909872,3.9893875,-1.934458204,-5.321393463,4.0179625,-1.392941796,-5.331496251,4.003675,-5.852807084,4.003675,0.7372448494,-1.403044584,-1.924355416,,,,plumbing,,
pi-1365,Copper,,lv-6,,,,0.0003909178949,-6.477,3.9893875,-1.9446875,-5.8674,4.0179625,-1.9161125,-5.8674,4.003675,-6.477,4.003675,0.6096,-1.9304,-1.9304,,,,plumbing,,
pi-1366,Copper,,lv-6,,,,0.0004727726452,-7.023006537,3.9893875,-1.934458204,-6.481490128,4.0179625,-1.392941796,-6.491592916,4.003675,-7.012903749,4.003675,0.7372448494,-1.924355416,-1.403044584,,,,plumbing,,
pi-1367,Copper,,lv-6,,,,0.004441192597,-13.95312233,3.9893875,-1.4112875,-7.027496665,4.0179625,-1.3827125,-7.027496665,4.003675,-13.95312233,4.003675,6.925625668,-1.397,-1.397,,,,plumbing,,
pi-1368,Copper,,lv-6,,,,0.0006568547932,-14.70211019,3.9893875,-2.137439529,-13.95761246,4.0179625,-1.392941796,-13.96771525,4.003675,-14.69200741,4.003675,1.024303792,-1.403044584,-2.127336741,,,,plumbing,,
pi-1369,Copper,,lv-6,,,,0.003696414036,-20.47081304,3.9893875,-2.147886481,-14.706599,4.0179625,-2.119093825,-14.70659954,4.003675,-20.4708125,4.003675,5.764212961,-2.133381325,-2.133598981,,,,plumbing,,
pi-1370,Copper,,lv-6,,,,0.0006736691722,8.313159666,-8.682284404,-3.940696732,8.367134666,-8.628309404,-3.64625914,8.340147166,-8.655296904,8.340147166,-8.655296904,0.2944375919,-3.64625914,-3.940696732,,,,plumbing,,
pi-1371,Copper,,lv-6,,,,0.0003967620695,8.313159666,-8.68022888,-4.123812188,8.367134666,-8.583210955,-3.942340233,8.340147166,-8.654160957,8.340147166,-8.609278878,0.1734110349,-3.949325112,-4.116827309,,,,plumbing,,
pi-1372,Copper,,lv-6,,,,0.007489058686,1.904918069,-7.674813591,-1.9446875,1.933493069,4.003675,-1.9161125,1.919205569,-7.674813591,1.919205569,4.003675,11.67848859,-1.9304,-1.9304,,,,plumbing,,
pi-1373,Copper,,lv-6,,,,0.009730190727,1.955718069,4.010025,-1.9097625,1.984293069,4.0386,13.2635625,1.970005569,4.0243125,1.970005569,4.0243125,15.173325,13.2635625,-1.9097625,,,,plumbing,,
pi-1374,Copper,,lv-6,,,,0.009730190727,2.006518069,4.010025,-1.9097625,2.035093069,4.0386,13.2635625,2.020805569,4.0243125,2.020805569,4.0243125,15.173325,-1.9097625,13.2635625,,,,plumbing,,
pi-1375,Copper,,lv-2,,,,0.0006901511105,-9.178925,2.570261207,5.1419125,-9.15035,3.6464875,5.1704875,-9.1646375,3.6464875,-9.1646375,2.570261207,1.076226293,5.1562,5.1562,,,,plumbing,,
