id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,x,y,rotation,system_type,equipment_type
eq-104,12 V,114,lv-7,,,0,1.608719887E-06,-15.91648846,-3.959139209,8.907549542,-15.89024963,-3.94174773,8.933114992,-15.90401734,-3.951866103,114.5503156,,
eq-105,12 V,115,lv-7,,,0,1.608719887E-06,-16.81966425,-3.546530825,8.912888852,-16.79342542,-3.529139346,8.938454302,-16.80719312,-3.539257719,114.5503156,,
eq-106,12 V,116,lv-7,,,0,1.608719887E-06,-17.70588151,-3.142624877,8.913199042,-17.67964268,-3.125233398,8.938764492,-17.69341038,-3.135351771,114.5503156,,
eq-107,12 V,117,lv-7,,,0,1.608719887E-06,-19.51026685,-2.316928528,8.93097664,-19.48402803,-2.299537049,8.95654209,-19.49779573,-2.309655422,114.5503156,,
eq-108,12 V,118,lv-8,,,0,1.608719887E-06,-16.04589849,-4.270857765,6.994526568,-16.01965966,-4.253466286,7.020092018,-16.03342737,-4.263584659,114.5503156,,
eq-109,12 V,119,lv-8,,,0,1.608719887E-06,-18.96735862,-3.284496421,5.214408638,-18.9411198,-3.267104942,5.239974088,-18.9548875,-3.277223315,114.5503156,,
eq-110,12 V,120,lv-7,,,0,1.608719887E-06,-16.1932501,-4.553496501,5.189382528,-16.16701127,-4.536105022,5.214947978,-16.18077897,-4.546223395,114.5503156,,
eq-111,12 V,121,lv-8,,,0,1.608719887E-06,-17.85204176,-3.443325726,7.017643476,-17.82580294,-3.425934247,7.043208926,-17.83957064,-3.43605262,114.5503156,,
eq-112,12 V,122,lv-7,,,0,1.608719887E-06,-17.09705077,-4.147833932,5.157406973,-17.07081194,-4.130442453,5.182972423,-17.08457965,-4.140560826,114.5503156,,
eq-113,12 V,123,lv-7,,,0,1.608719887E-06,-17.98347633,-3.746243256,5.145278875,-17.9572375,-3.728851777,5.170844325,-17.97100521,-3.73897015,114.5503156,,
eq-114,12 V,124,lv-7,,,0,1.608719887E-06,-19.77174901,-2.932709116,5.138183273,-19.74551018,-2.915317637,5.163748723,-19.75927788,-2.92543601,114.5503156,,
eq-115,12 V,125,lv-7,,,0,1.608719887E-06,-19.63460365,-2.631066949,7.017396257,-19.60836482,-2.61367547,7.042961707,-19.62213252,-2.623793843,114.5503156,,
eq-116,12 V,126,lv-7,,,0,1.608719887E-06,-8.692870552,-2.650861619,16.65745481,-8.666631724,-2.63347014,16.68302026,-8.680399426,-2.643588513,114.5503156,,
eq-117,12 V,127,lv-7,,,0,1.608719887E-06,-9.603420165,-2.237515174,16.64926191,-9.577181336,-2.220123695,16.67482736,-9.590949039,-2.230242068,114.5503156,,
eq-118,12 V,128,lv-7,,,0,1.608719887E-06,-10.52103334,-1.818614813,16.65311966,-10.49479451,-1.801223334,16.67868511,-10.50856221,-1.811341707,114.5503156,,
eq-119,12 V,129,lv-7,,,0,1.608719887E-06,-12.30772404,-1.003366655,16.65858995,-12.28148521,-0.985975176,16.6841554,-12.29525291,-0.9960935489,114.5503156,,
eq-120,12 V,130,lv-7,,,0,1.608719887E-06,-12.46503855,-1.303311138,14.74070614,-12.43879972,-1.285919659,14.76627159,-12.45256743,-1.296038032,114.5503156,,
eq-121,12 V,131,lv-8,,,0,1.608719887E-06,-10.6597025,-2.130294746,14.71852117,-10.63346367,-2.112903267,14.74408662,-10.64723138,-2.12302164,114.5503156,,
eq-122,12 V,132,lv-8,,,0,1.608719887E-06,-8.852730392,-2.945879805,14.75900829,-8.826491564,-2.928488326,14.78457374,-8.840259267,-2.938606699,114.5503156,,
eq-123,12 V,133,lv-8,,,0,1.608719887E-06,-11.45062945,-1.379451302,16.7333691,-11.42439062,-1.362059823,16.75893455,-11.43815833,-1.372178196,114.5503156,,
eq-124,PV5,134,lv-7,,,1.644604453E-14,0.05465085844,5.864296189,-0.4690463716,18.6055,6.387124398,-0.125492357,19.3421,6.095428973,-0.3637200397,162.7434031,,
eq-125,PV6,135,lv-7,,,3.180922192E-14,0.05465085844,10.85520975,-1.403447286,18.6055,11.37803796,-1.059893272,19.3421,11.08634253,-1.298120954,162.7434031,,
