id,uuid,directory
sp-58,a79add17-780f-499e-a863-104a9aa9c91e-0003489a,global
sp-59,a79add17-780f-499e-a863-104a9aa9c91e-0003489c,global
sp-60,a79add17-780f-499e-a863-104a9aa9c91e-0003489e,global
sp-61,e29811d8-f362-4144-bef4-40532c4f577a-000348c9,global
sp-62,e29811d8-f362-4144-bef4-40532c4f577a-000348cf,global
sp-63,e29811d8-f362-4144-bef4-40532c4f577a-000348d1,global
sp-64,7a4f2d19-b926-444c-8a52-5eac052b5192-00034d49,global
sp-65,7a4f2d19-b926-444c-8a52-5eac052b5192-00034d5d,global
sp-66,7a4f2d19-b926-444c-8a52-5eac052b5192-00034d5f,global
sp-67,7a4f2d19-b926-444c-8a52-5eac052b5192-00034d61,global
sp-68,7a4f2d19-b926-444c-8a52-5eac052b5192-00034d63,global
sp-69,7a4f2d19-b926-444c-8a52-5eac052b5192-00034d65,global
sp-70,7a4f2d19-b926-444c-8a52-5eac052b5192-00034d67,global
sp-71,7a4f2d19-b926-444c-8a52-5eac052b5192-00034d71,global
sp-72,7a4f2d19-b926-444c-8a52-5eac052b5192-00034d76,global
sp-73,7a4f2d19-b926-444c-8a52-5eac052b5192-00034d78,global
sp-74,7a4f2d19-b926-444c-8a52-5eac052b5192-00034d7a,global
sp-75,7a4f2d19-b926-444c-8a52-5eac052b5192-00034d7c,global
sp-76,7a4f2d19-b926-444c-8a52-5eac052b5192-00034d7e,global
sp-77,7a4f2d19-b926-444c-8a52-5eac052b5192-00034d87,global
sp-78,7a4f2d19-b926-444c-8a52-5eac052b5192-00034d89,global
sp-79,7a4f2d19-b926-444c-8a52-5eac052b5192-00034d8b,global
sp-80,7a4f2d19-b926-444c-8a52-5eac052b5192-00034d8d,global
sp-81,7a4f2d19-b926-444c-8a52-5eac052b5192-00034d8f,global
sp-82,7a4f2d19-b926-444c-8a52-5eac052b5192-00034d91,global
sp-83,7a4f2d19-b926-444c-8a52-5eac052b5192-00034d93,global
sp-84,7a4f2d19-b926-444c-8a52-5eac052b5192-00034d9e,global
sp-85,7a4f2d19-b926-444c-8a52-5eac052b5192-00034da0,global
sp-86,7a4f2d19-b926-444c-8a52-5eac052b5192-00034da2,global
sp-87,7a4f2d19-b926-444c-8a52-5eac052b5192-00034da4,global
sp-88,4d6d2a90-c0a4-4bdc-97aa-ce91bd1344ab-000352d2,global
sp-89,4d6d2a90-c0a4-4bdc-97aa-ce91bd1344ab-000352d3,global
sp-90,4d6d2a90-c0a4-4bdc-97aa-ce91bd1344ab-000352d4,global
sp-91,4d6d2a90-c0a4-4bdc-97aa-ce91bd1344ab-000352d5,global
d-1,1832d549-62c0-44df-812c-b19e8965ded5-00023a4f,global
d-2,1832d549-62c0-44df-812c-b19e8965ded5-00023aae,global
d-3,1832d549-62c0-44df-812c-b19e8965ded5-00023ae8,global
d-4,1832d549-62c0-44df-812c-b19e8965ded5-00023b6a,global
d-5,1832d549-62c0-44df-812c-b19e8965ded5-00023ba7,global
d-6,1832d549-62c0-44df-812c-b19e8965ded5-00023c33,global
d-7,1832d549-62c0-44df-812c-b19e8965ded5-00023c83,global
d-8,1832d549-62c0-44df-812c-b19e8965ded5-00023cd1,global
d-9,1832d549-62c0-44df-812c-b19e8965ded5-00023d35,global
d-10,9e597f98-694d-4ada-b8ef-0e7459e0b930-0002417a,global
d-11,9e597f98-694d-4ada-b8ef-0e7459e0b930-000249a1,global
d-12,9e597f98-694d-4ada-b8ef-0e7459e0b930-00024a12,global
d-13,9e597f98-694d-4ada-b8ef-0e7459e0b930-00024a89,global
d-14,9e597f98-694d-4ada-b8ef-0e7459e0b930-00024b83,global
d-15,9e597f98-694d-4ada-b8ef-0e7459e0b930-00024bbd,global
d-16,9e597f98-694d-4ada-b8ef-0e7459e0b930-00024c38,global
d-17,9e597f98-694d-4ada-b8ef-0e7459e0b930-0002502a,global
d-18,9e597f98-694d-4ada-b8ef-0e7459e0b930-0002533a,global
d-19,9e597f98-694d-4ada-b8ef-0e7459e0b930-0002539c,global
d-20,9e597f98-694d-4ada-b8ef-0e7459e0b930-0002542e,global
d-21,9e597f98-694d-4ada-b8ef-0e7459e0b930-00025470,global
d-22,9e597f98-694d-4ada-b8ef-0e7459e0b930-00025b78,global
d-23,9e597f98-694d-4ada-b8ef-0e7459e0b930-00025baa,global
d-24,9e597f98-694d-4ada-b8ef-0e7459e0b930-00025bd9,global
d-25,9e597f98-694d-4ada-b8ef-0e7459e0b930-00025c6b,global
d-26,9e597f98-694d-4ada-b8ef-0e7459e0b930-00025c98,global
d-27,9e597f98-694d-4ada-b8ef-0e7459e0b930-00025cc4,global
d-28,9e597f98-694d-4ada-b8ef-0e7459e0b930-00025cee,global
d-29,9e597f98-694d-4ada-b8ef-0e7459e0b930-00025d22,global
