id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,x,y,rotation,material,length,width,thickness
965746f8-0e0c-475e-9d21-93aadfae867a-000a6d19,36x36x24 Pile_24,,ef74f80b-36f6-466f-931f-2f08bd3355e9-0008dd9e,,,-0.1778,0.5097032387,0.635,-2.2225,-13.335,1.5494,-1.3081,-5.334,1.0922,-1.7653,0,"Concrete, Cast-in-Place gray",0,0,
965746f8-0e0c-475e-9d21-93aadfae867a-000a6d1a,24x24x25',,ef74f80b-36f6-466f-931f-2f08bd3355e9-0008dd9e,,,0.0762,2.152667292,0.7874,-2.0701,-13.335,1.397,-1.4605,-5.715,1.0922,-1.7653,0,"Concrete, Cast-in-Place gray",0,0,
965746f8-0e0c-475e-9d21-93aadfae867a-000a6d1b,36x36x24 Pile_24,,ef74f80b-36f6-466f-931f-2f08bd3355e9-0008dd9e,,,-0.1778,0.5097032387,-6.6294,-2.2225,-13.335,-5.715,-1.3081,-5.334,-6.1722,-1.7653,0,"Concrete, Cast-in-Place gray",0,0,
965746f8-0e0c-475e-9d21-93aadfae867a-000a6d1c,24x24x25',,ef74f80b-36f6-466f-931f-2f08bd3355e9-0008dd9e,,,0.0762,2.152667292,-6.477,-2.0701,-13.335,-5.8674,-1.4605,-5.715,-6.1722,-1.7653,0,"Concrete, Cast-in-Place gray",0,0,
965746f8-0e0c-475e-9d21-93aadfae867a-000a6d1d,36x36x24 Pile_24,,ef74f80b-36f6-466f-931f-2f08bd3355e9-0008dd9e,,,-0.1778,0.5097032387,-6.6294,5.3975,-13.335,-5.715,6.3119,-5.334,-6.1722,5.8547,360,"Concrete, Cast-in-Place gray",0,0,
965746f8-0e0c-475e-9d21-93aadfae867a-000a6d1e,24x24x25',,ef74f80b-36f6-466f-931f-2f08bd3355e9-0008dd9e,,,0.0762,2.152667292,-6.477,5.5499,-13.335,-5.8674,6.1595,-5.715,-6.1722,5.8547,360,"Concrete, Cast-in-Place gray",0,0,
965746f8-0e0c-475e-9d21-93aadfae867a-000a6d1f,36x36x24 Pile_24,,ef74f80b-36f6-466f-931f-2f08bd3355e9-0008dd9e,,,-0.1778,0.5097032387,6.8326,5.3975,-13.335,7.747,6.3119,-5.334,7.2898,5.8547,360,"Concrete, Cast-in-Place gray",0,0,
965746f8-0e0c-475e-9d21-93aadfae867a-000a6d20,24x24x25',,ef74f80b-36f6-466f-931f-2f08bd3355e9-0008dd9e,,,0.0762,2.152667292,6.985,5.5499,-13.335,7.5946,6.1595,-5.715,7.2898,5.8547,360,"Concrete, Cast-in-Place gray",0,0,
965746f8-0e0c-475e-9d21-93aadfae867a-000a6d21,36x36x24 Pile_24,,ef74f80b-36f6-466f-931f-2f08bd3355e9-0008dd9e,,,-0.1778,0.5097032387,12.1158,5.3975,-13.335,13.0302,6.3119,-5.334,12.573,5.8547,360,"Concrete, Cast-in-Place gray",0,0,
965746f8-0e0c-475e-9d21-93aadfae867a-000a6d22,24x24x25',,ef74f80b-36f6-466f-931f-2f08bd3355e9-0008dd9e,,,0.0762,2.152667292,12.2682,5.5499,-13.335,12.8778,6.1595,-5.715,12.573,5.8547,360,"Concrete, Cast-in-Place gray",0,0,
965746f8-0e0c-475e-9d21-93aadfae867a-000a6d23,36x36x24 Pile_24,,ef74f80b-36f6-466f-931f-2f08bd3355e9-0008dd9e,,,-0.1778,0.5097032387,-21.7932,5.3975,-13.335,-20.8788,6.3119,-5.334,-21.336,5.8547,360,"Concrete, Cast-in-Place gray",0,0,
965746f8-0e0c-475e-9d21-93aadfae867a-000a6d24,24x24x25',,ef74f80b-36f6-466f-931f-2f08bd3355e9-0008dd9e,,,0.0762,2.152667292,-21.6408,5.5499,-13.335,-21.0312,6.1595,-5.715,-21.336,5.8547,360,"Concrete, Cast-in-Place gray",0,0,
965746f8-0e0c-475e-9d21-93aadfae867a-000a6d25,36x36x24 Pile_24,,ef74f80b-36f6-466f-931f-2f08bd3355e9-0008dd9e,,,-0.1778,0.5097032387,-28.1305,5.3975,-13.335,-27.2161,6.3119,-5.334,-27.6733,5.8547,360,"Concrete, Cast-in-Place gray",0,0,
965746f8-0e0c-475e-9d21-93aadfae867a-000a6d26,24x24x25',,ef74f80b-36f6-466f-931f-2f08bd3355e9-0008dd9e,,,0.0762,2.152667292,-27.9781,5.5499,-13.335,-27.3685,6.1595,-5.715,-27.6733,5.8547,360,"Concrete, Cast-in-Place gray",0,0,
