id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,x,y,rotation,system_type,terminal_type
d61b3550-94d2-43ab-b740-69d0d0641aec-0015d7e5,16x4 Connection 8 Diameter Duct,115,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,3.3782,0.00246868097,6.861175,9.904567355,9.048740305,7.312025,9.964892355,9.18845,7.0866,9.958542355,90,hvac,
d61b3550-94d2-43ab-b740-69d0d0641aec-0015d803,16x4 Connection 8 Diameter Duct,116,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,3.3782,0.00246868097,6.861175,9.748992355,9.04875,7.312025,9.809317355,9.188459695,7.0866,9.755342355,90,hvac,
d61b3550-94d2-43ab-b740-69d0d0641aec-0015d866,16x4 Connection 8 Diameter Duct,117,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,3.3782,0.00246868097,9.022421575,9.904567355,9.048740305,9.473271575,9.964892355,9.18845,9.247846575,9.958542355,270,hvac,
d61b3550-94d2-43ab-b740-69d0d0641aec-0015d89e,16x4 Connection 8 Diameter Duct,118,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,3.3782,0.00246868097,9.022421575,9.748992355,9.04875,9.473271575,9.809317355,9.188459695,9.247846575,9.755342355,90,hvac,
d61b3550-94d2-43ab-b740-69d0d0641aec-0015d933,"4"" DIA",119,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,0,0.001249534933,1.805646575,13.0302,8.8138,1.958046575,13.1318,8.9662,1.881846575,13.0302,180,hvac,
d61b3550-94d2-43ab-b740-69d0d0641aec-0015db3d,16x4 Connection 8 Diameter Duct,120,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,3.1623,0.00246868097,4.181032842,7.653052812,8.832840305,4.241357842,8.103902812,8.97255,4.235007842,7.878477812,240,hvac,
d61b3550-94d2-43ab-b740-69d0d0641aec-0015db7d,16x4 Connection 8 Diameter Duct,121,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,3.1623,0.00246868097,4.181032842,4.206875,8.83285,4.241357842,4.657725,8.972559695,4.235007842,4.4323,120,hvac,
9f0b49e2-c58d-4377-870c-4961fd73c258-0015de21,"12"" x 12""",122,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,0,0.001282287758,7.7978,5.172075,8.1788,8.1026,5.476875,8.2121375,7.9502,5.324475,180,hvac,
893e7bbd-2d58-4420-9ff3-3c56048eac45-0015e507,16x4 Connection 8 Diameter Duct,127,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,3.302,0.00246868097,14.05718298,6.779117355,8.972540305,14.11750798,7.229967355,9.11225,14.11115798,7.004542355,240,hvac,
893e7bbd-2d58-4420-9ff3-3c56048eac45-0015e52d,16x4 Connection 8 Diameter Duct,128,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,3.302,0.00246868097,14.05718298,8.455517355,8.972540305,14.11750798,8.906367355,9.11225,14.11115798,8.680942355,240,hvac,
893e7bbd-2d58-4420-9ff3-3c56048eac45-0015e549,16x4 Connection 8 Diameter Duct,129,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,3.302,0.00246868097,14.05718298,9.827117355,8.972540305,14.11750798,10.27796735,9.11225,14.11115798,10.05254235,240,hvac,
893e7bbd-2d58-4420-9ff3-3c56048eac45-0015e570,16x4 Connection 8 Diameter Duct,130,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,3.302,0.00246868097,14.05718298,11.50351735,8.972540305,14.11750798,11.95436735,9.11225,14.11115798,11.72894235,240,hvac,
148f1061-d6ff-4c36-aba8-25e753060a34-0015e641,"12"" x 12""",131,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,0,0.001984932914,14.246225,4.041775,8.1788,14.551025,4.346575,8.2121375,14.398625,4.194175,180,hvac,
148f1061-d6ff-4c36-aba8-25e753060a34-0015e867,16x4 Connection 8 Diameter Duct,132,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,3.044697535,0.00246868097,16.29445574,3.617079431,8.715247535,16.35478074,4.067929431,8.85495723,16.34843074,3.842504431,120,hvac,
77ea100d-1997-45d0-a4b3-2a3b6ba12795-0015ea74,"4"" DIA",133,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,0,0.001249534933,13.458825,13.0302,8.9662,13.611225,13.1318,9.1186,13.535025,13.0302,180,hvac,
a92a4e4a-67e7-4364-b5b8-1bc3521451d8-0015fd35,16x4 Connection 8 Diameter Duct,135,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,2.856068731,0.00246868097,-29.6005259,-0.9508613565,8.526618731,-29.35866804,-0.5155889476,8.666328426,-29.45792852,-0.7431000349,107.0168769,hvac,
a92a4e4a-67e7-4364-b5b8-1bc3521451d8-0015fd44,16x4 Connection 8 Diameter Duct,136,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,2.856068731,0.00246868097,-29.74209313,-0.8863454553,8.526609036,-29.50023527,-0.4510730464,8.666318731,-29.64283265,-0.658834368,107.0168769,hvac,
